policy,capacity,sink_size,scored_tokens,nll,ppl,delta_nll,argmax_agreement,kv_allocated_bytes,position_metadata_bytes,kv_saving_fraction
full,32,0,16,2.1867469921708107,8.9061940217396,0.0,1.0,16384,0,0.0
recent,8,0,16,2.1881047040224075,8.91829427938836,0.0013577118515968323,0.875,4096,64,0.75
sink_recent,8,2,16,2.2020813822746277,9.043817564995988,0.015334390103816986,0.8125,4096,64,0.75
recent,16,0,16,2.1854619458317757,8.894756500163782,-0.0012850463390350342,1.0,8192,128,0.5
sink_recent,16,2,16,2.1853639855980873,8.893885210414995,-0.0013830065727233887,0.875,8192,128,0.5
recent,24,0,16,2.183935709297657,8.88119135227651,-0.0028112828731536865,1.0,12288,192,0.25
sink_recent,24,2,16,2.185470499098301,8.894832579712169,-0.0012764930725097656,1.0,12288,192,0.25
