backend,kv_heads,prompt_length,decode_steps,batch_size,mode,prefill_ms_median,decode_ms_median,decode_step_ms,decode_tokens_per_second,cache_allocated_bytes,cuda_peak_allocated_bytes,cuda_peak_extra_bytes
naive,2,8,8,1,no_cache,1.4019999998708954,10.676100000182487,1.3345125000228109,749.3373048082404,0,,
naive,2,8,8,1,cache,1.5644000000065716,10.680599999886908,1.3350749999858635,749.0215905552785,8192,,
naive,2,16,8,1,no_cache,1.5582000000904372,12.539300000298681,1.5674125000373351,637.99414638851,0,,
naive,2,16,8,1,cache,1.6123999998853833,11.45330000008471,1.4316625000105887,698.4886451887954,12288,,
sdpa,2,8,8,1,no_cache,1.2231000000610948,10.183599999891157,1.2729499999863947,785.5768097809718,0,,
sdpa,2,8,8,1,cache,1.2912000001961133,9.490899999946123,1.1863624999932654,842.9126847870501,8192,,
sdpa,2,16,8,1,no_cache,1.277700000173354,10.749099999884493,1.3436374999855616,744.2483556842867,0,,
sdpa,2,16,8,1,cache,1.3910000002397283,9.334899999885238,1.1668624999856547,856.999003749194,12288,,
